id,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
429,250000000.0,Secondary, Новокузнецкая,11.0,Moscow,3.0,142.8,30.0,18.5,6.0,8,Designer
430,12000000.0,Secondary, Саларьево,8.0,Moscow,3.0,63.0,45.0,7.0,1.0,9,European-style renovation
431,14450000.0,Secondary, Бибирево,14.0,Moscow,3.0,60.6,43.3,6.0,2.0,9,Cosmetic
432,14500000.0,Secondary, Печатники,4.0,Moscow,3.0,60.0,43.9,6.1,9.0,9,Designer
433,24287000.0,Secondary, Новогиреево,4.0,Moscow,3.0,84.0,44.6,13.6,11.0,22,European-style renovation
434,26500000.0,Secondary, Бульвар Рокоссовского,6.0,Moscow,3.0,80.0,55.0,15.0,19.0,24,European-style renovation
435,33500000.0,Secondary, Улица 1905 года,17.0,Moscow,3.0,77.2,59.5,10.5,11.0,22,Designer
436,36900000.0,Secondary, Филёвский парк,7.0,Moscow,3.0,82.0,55.5,12.2,3.0,5,Designer
437,41990000.0,Secondary, Парк Культуры,5.0,Moscow,3.0,78.2,40.0,20.0,2.0,7,European-style renovation
438,45000000.0,Secondary, Серпуховская,11.0,Moscow,3.0,107.3,67.0,10.0,22.0,29,Without renovation
439,45000000.0,Secondary, Шелепиха,12.0,Moscow,3.0,85.8,45.5,13.7,28.0,42,Without renovation
440,47900000.0,Secondary, Смоленская,7.0,Moscow,3.0,91.0,17.0,14.2,7.0,8,Designer
441,49990000.0,Secondary, Шелепиха,12.0,Moscow,3.0,89.0,47.1,14.0,30.0,37,Without renovation
442,50990000.0,Secondary, Шелепиха,12.0,Moscow,3.0,88.6,46.9,14.0,34.0,42,Designer
443,76000000.0,Secondary, Проспект Мира,5.0,Moscow,3.0,121.0,70.2,15.4,6.0,12,European-style renovation
444,82000000.0,Secondary, Аэропорт,10.0,Moscow,3.0,163.5,84.0,20.0,9.0,57,Designer
445,147213000.0,Secondary, Улица 1905 года,15.0,Moscow,3.0,148.7,77.3,18.9,4.0,20,Designer
446,190000000.0,Secondary, Ломоносовский проспект,4.0,Moscow,3.0,105.4,55.2,14.0,4.0,8,Designer
447,12800000.0,Secondary, Рязанский проспект,5.0,Moscow,3.0,60.0,37.0,8.0,9.0,9,European-style renovation
448,17650000.0,Secondary, Рязанский проспект,5.0,Moscow,3.0,60.0,40.0,14.0,4.0,17,Designer
449,24000050.0,Secondary, Профсоюзная,15.0,Moscow,3.0,55.0,29.9,11.2,7.0,8,European-style renovation
450,30800000.0,Secondary, Раменки,10.0,Moscow,3.0,68.5,36.8,12.3,7.0,52,Without renovation
451,32300000.0,Secondary, Кунцевская,4.0,Moscow,3.0,85.0,60.0,20.0,29.0,29,Without renovation
452,34000000.0,Secondary, Фили,18.0,Moscow,3.0,57.0,31.0,11.4,20.0,29,Designer
453,39200000.0,Secondary, Ботанический сад,11.0,Moscow,3.0,117.9,56.4,34.6,20.0,20,Without renovation
454,39700000.0,Secondary, Панфиловская,7.0,Moscow,3.0,88.0,20.0,13.9,8.0,18,Designer
455,41000000.0,Secondary, Динамо,1.0,Moscow,3.0,90.0,60.0,20.0,8.0,13,European-style renovation
456,44000000.0,Secondary, Беломорская,22.0,Moscow,3.0,103.8,54.6,15.2,2.0,21,Designer
457,45000000.0,Secondary, Выставочная,26.0,Moscow,3.0,79.0,10.0,13.2,15.0,20,Designer
458,46000000.0,Secondary, Аэропорт,14.0,Moscow,3.0,123.8,61.4,34.0,1.0,16,European-style renovation
459,49900000.0,Secondary, Петровский Парк,15.0,Moscow,3.0,66.3,43.0,6.0,13.0,37,Designer
460,55000000.0,Secondary, Улица 1905 года,4.0,Moscow,3.0,110.0,80.0,20.0,6.0,8,Designer
461,58000000.0,Secondary, Минская,7.0,Moscow,3.0,90.0,60.0,20.0,14.0,25,Without renovation
462,64000000.0,Secondary, Фили,13.0,Moscow,3.0,112.0,58.8,15.9,17.0,25,Designer
463,67000000.0,Secondary, Арбатская,7.0,Moscow,3.0,102.9,12.4,15.2,3.0,9,Cosmetic
464,70000000.0,Secondary, Улица 1905 года,3.0,Moscow,3.0,100.9,76.9,12.9,16.0,22,European-style renovation
465,69990000.0,Secondary, Цветной бульвар,6.0,Moscow,3.0,160.0,110.0,25.0,3.0,10,Designer
466,69900000.0,Secondary, Третьяковская,9.0,Moscow,3.0,102.0,10.7,15.1,7.0,9,European-style renovation
467,76000000.0,Secondary, Проспект Мира,5.0,Moscow,3.0,120.9,93.0,15.0,6.0,12,European-style renovation
468,93000000.0,Secondary, Третьяковская,11.0,Moscow,3.0,141.5,36.0,18.3,2.0,8,Without renovation
469,96000000.0,Secondary, Улица 1905 года,11.0,Moscow,3.0,100.0,52.7,14.9,7.0,18,Without renovation
470,99000000.0,Secondary, Белорусская,7.0,Moscow,3.0,126.6,66.1,17.1,6.0,27,Designer
471,115000000.0,Secondary, Деловой центр,4.0,Moscow,3.0,189.0,97.7,22.3,41.0,73,Designer
472,129990000.0,Secondary, Кропоткинская,7.0,Moscow,3.0,135.0,10.0,17.8,4.0,8,Designer
473,139000000.0,Secondary, Улица 1905 года,15.0,Moscow,3.0,100.0,52.7,14.9,18.0,21,Designer
474,160000000.0,Secondary, Парк Культуры,5.0,Moscow,3.0,114.0,8.4,16.1,2.0,6,European-style renovation
475,165000000.0,Secondary, Новокузнецкая,3.0,Moscow,3.0,135.0,80.0,20.0,4.0,12,Designer
476,194800000.0,Secondary, Киевская,5.0,Moscow,3.0,160.0,83.0,19.9,47.0,54,European-style renovation
477,27770000.0,Secondary, Парк Победы,3.0,Moscow,3.0,67.6,9.0,12.2,5.0,12,Without renovation
478,30500000.0,Secondary, Багратионовская,22.0,Moscow,3.0,60.1,20.0,11.6,8.0,30,Designer
479,33000000.0,Secondary, Нагатинский Затон,19.0,Moscow,3.0,65.0,29.0,22.0,15.0,16,Designer
480,33500000.0,Secondary, Крылатское,5.0,Moscow,3.0,94.1,49.7,14.4,20.0,23,Designer
481,47000000.0,Secondary, Щукинская,2.0,Moscow,3.0,130.2,10.0,17.4,6.0,17,Designer
482,59900000.0,Secondary, Раменки,11.0,Moscow,3.0,109.0,63.0,43.3,12.0,18,Designer
483,64999999.0,Secondary, Раменки,9.0,Moscow,3.0,113.1,18.4,16.0,3.0,21,Designer
484,99000000.0,Secondary, Парк Культуры,2.0,Moscow,3.0,106.4,10.0,15.4,5.0,6,Designer
485,115000000.0,Secondary, Новокузнецкая,3.0,Moscow,3.0,146.0,75.9,18.7,4.0,9,European-style renovation
486,139000000.0,Secondary, Беговая,25.0,Moscow,3.0,100.0,15.0,14.9,18.0,21,Designer
487,155000000.0,Secondary, Спортивная,10.0,Moscow,3.0,125.3,10.0,17.0,6.0,14,Without renovation
488,33400000.0,Secondary, Технопарк,14.0,Moscow,3.0,85.0,62.8,14.4,8.0,8,Cosmetic
489,35000000.0,Secondary, Аминьевская,2.0,Moscow,3.0,61.0,33.0,11.7,17.0,39,Designer
490,50000000.0,Secondary, Шелепиха,2.0,Moscow,3.0,108.0,24.0,15.6,12.0,53,Designer
491,84000000.0,Secondary, Смоленская,9.0,Moscow,3.0,212.4,182.4,25.0,5.0,17,Without renovation
492,153000000.0,Secondary, Арбатская,6.0,Moscow,3.0,94.1,48.1,14.4,2.0,8,Designer
493,86200000.0,Secondary, ЦСКА,7.0,Moscow,4.0,244.1,125.5,26.8,21.0,23,Cosmetic
494,73500000.0,Secondary, Раменки,13.0,Moscow,4.0,115.0,95.0,7.0,3.0,17,Designer
495,146000000.0,Secondary, Кропоткинская,5.0,Moscow,4.0,155.0,120.0,20.0,6.0,7,Designer
496,146000000.0,Secondary, Кропоткинская,3.0,Moscow,4.0,153.0,102.0,14.0,6.0,7,Designer
497,37990000.0,Secondary, Народное Ополчение,10.0,Moscow,4.0,94.5,49.9,14.5,20.0,58,Without renovation
498,145000000.0,Secondary, Белорусская,6.0,Moscow,4.0,200.0,103.2,23.2,4.0,6,Designer
499,159000000.0,Secondary, Улица 1905 года,15.0,Moscow,4.0,143.0,74.4,18.5,13.0,20,Designer
500,350000000.0,Secondary, Парк Культуры,6.0,Moscow,4.0,233.2,185.0,25.0,6.0,8,European-style renovation
501,169000000.0,Secondary, Библиотека и Ленина,4.0,Moscow,4.0,137.0,91.0,7.0,4.0,5,Designer
502,180000000.0,Secondary, Фрунзенская,10.0,Moscow,4.0,187.0,27.0,22.1,7.0,11,Without renovation
503,125000000.0,Secondary, Китай-город,11.0,Moscow,4.0,108.6,64.0,9.0,2.0,9,Designer
504,169000000.0,Secondary, Библиотека и Ленина,4.0,Moscow,4.0,137.6,74.0,12.0,4.0,5,Designer
505,350000000.0,Secondary, Парк Культуры,6.0,Moscow,4.0,249.0,150.0,15.0,2.0,6,Designer
506,59990000.0,Secondary, Народное Ополчение,10.0,Moscow,4.0,108.6,57.0,15.6,38.0,58,Designer
507,71000000.0,Secondary, Марьина Роща,6.0,Moscow,4.0,135.6,47.9,37.4,11.0,21,Without renovation
508,289000000.0,Secondary, Аэропорт,9.0,Moscow,4.0,405.0,265.6,49.3,20.0,21,Designer
509,61988000.0,Secondary, Минская,14.0,Moscow,4.0,115.6,65.0,14.1,3.0,14,Without renovation
510,43000000.0,Secondary, Народное Ополчение,10.0,Moscow,4.0,108.2,56.8,15.6,11.0,58,Without renovation
511,52500000.0,Secondary, Народное Ополчение,10.0,Moscow,4.0,127.5,66.6,17.2,20.0,58,Without renovation
512,69000000.0,Secondary, Минская,20.0,Moscow,4.0,92.8,49.0,14.3,8.0,14,Designer
